hogar,codigo_sexo,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,Codigo_nivel_educativo,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional,total_trabajopago,total_trabajonopago,intervalo_horasnopagas,intervalo_horaspagas,rango_etario_codigo,intervalo_horasnopagas_codigo,intervalo_horaspagas_codigo,dia_laborable_codigo
1_1,2,Varon,14,Día no laborable,0,0.1,0,0,9,7.3,0,8.2,0,0.1,0,0,8.8,7.3,0,7.9,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0.2,0,0,1,1,1,2
2_1,2,Varon,14,Día no laborable,0,1,0,8.3,2.7,2.5,0,10.2,0,1,0,8.3,2.3,2.5,0,9.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,2,1-4,0,1,2,1,2
3_1,2,Varon,14,Día no laborable,0,0.2,0,11.3,2.6,0.3,0,10.6,0,0.2,0,11.3,2.1,0.3,0,10.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.4,0,0,1,1,1,2
4_1,2,Varon,14,Día no laborable,0,1.8,0,4,7.7,3,0,9.5,0,1.3,0,4,7.2,3,0,8.5,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,3.1,1-4,0,1,2,1,2
5_1,2,Varon,14,Día no laborable,0,0,0,8.3,4.7,1.8,0,9.3,0,0,0,8.3,4.7,1.8,0,9.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,0,0,0,1,1,1,2
6_1,1,Mujer,14,Día no laborable,0,3,0,0,4.2,4.8,0,15.7,0,3,0,0,2.3,4.8,0,13.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,6,5-9,0,1,3,1,2
7_1,1,Mujer,14,Día no laborable,0,0.3,0,6.7,2.2,4.7,0.2,11.8,0,0.2,0,6.6,1.7,4.7,0.1,10.9,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,0.5,0,0,1,1,1,2
8_1,1,Mujer,14,Día no laborable,0,0.3,0,8.8,4.9,1.5,0,9.8,0,0.3,0,8.8,4.3,1.5,0,9.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
9_1,1,Mujer,14,Día no laborable,0,0.3,0,10.7,1.8,2.5,0,10.6,0,0.1,0,10.3,0.9,2.5,0,10.2,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.4,0,0,1,1,1,2
10_1,1,Mujer,14,Día no laborable,0,1.1,0,6,1.1,1,4.7,11.3,0,1.1,0,6,0.6,1,4.7,10.7,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,2.2,1-4,0,1,2,1,2
11_1,1,Mujer,14,Día no laborable,0,0,0,6.7,3,2.5,0,13.3,0,0,0,6.7,2.3,2.5,0,12.6,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,0,0,0,1,1,1,2
12_1,1,Mujer,14,Día no laborable,0,0,0,5,3,3,0,16,0,0,0,5,1.5,3,0,14.5,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,0,0,0,1,1,1,2
13_1,1,Mujer,14,Día no laborable,0,0,0,10.5,0.5,3.8,0,9.3,0,0,0,10.5,0.5,3.8,0,9.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
13_2,1,Mujer,36,Día no laborable,0,12.5,0,0,0,2,0,9.5,0,12.5,0,0,0,2,0,9.5,Día atípico,25-39,3,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,25,20-24,0,2,6,1,2
14_1,2,Varon,14,Día no laborable,0,0,0,2,3,2.9,0,16.1,0,0,0,2,3,2.9,0,16.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
15_1,2,Varon,14,Día no laborable,0,0,0,8.1,0,5.8,0,10.2,0,0,0,8.1,0,5.8,0,10.2,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0,0,0,1,1,1,2
